step,solve_rate,response_length,reward,kl_div,timing_s/agent_loop/slowest/num_preempted,val-aux/num_turns/min,_timestamp,timing_s/adv,actor/grad_norm,timing_s/stop_profile,response_length_non_aborted/max,critic/advantages/mean,response_length/clip_ratio,actor/lr,critic/returns/min,perf/total_num_tokens,timing_s/agent_loop/tool_calls/min,global_seqlen/mean,timing_s/values,critic/returns/mean,timing_s/agent_loop/generate_sequences/mean,perf/time_per_step,timing_s/ref,timing_s/testing,perf/mfu/actor_infer,timing_s/agent_loop/num_preempted/mean,critic/rewards/max,timing_s/agent_loop/generate_sequences/max,critic/values/min,val-aux/num_turns/mean,timing_s/agent_loop/slowest/response_length,critic/returns/max,num_turns/max,prompt_length/clip_ratio,perf/max_memory_reserved_gb,response_length_non_aborted/min,response_length_non_aborted/mean,timing_per_token_ms/update_critic,_step,actor/reward_kl_penalty,perf/throughput,num_turns/mean,timing_s/update_actor,timing_per_token_ms/update_actor,timing_s/update_critic,timing_s/agent_loop/num_preempted/max,actor/pg_loss,num_turns/min,global_seqlen/balanced_max,training/epoch,response_length/min,timing_s/step,timing_s/start_profile,perf/max_memory_allocated_gb,critic/lr,timing_s/agent_loop/slowest/tool_calls,response_length_non_aborted/clip_ratio,timing_per_token_ms/gen,response_length/max,global_seqlen/minmax_diff,actor/entropy,response/aborted_ratio,global_seqlen/max,critic/advantages/min,timing_s/agent_loop/slowest/prompt_length,critic/score/min,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/tool_calls/mean,actor/pg_clipfrac,critic/values/max,timing_s/agent_loop/tool_calls/max,actor/ppo_kl,critic/vf_loss,critic/vpred_mean,critic/rewards/min,perf/cpu_memory_used_gb,timing_per_token_ms/values,timing_s/old_log_prob,prompt_length/mean,timing_per_token_ms/ref,prompt_length/max,critic/grad_norm,timing_s/reward,critic/values/mean,actor/reward_kl_penalty_coeff,timing_s/agent_loop/num_preempted/min,_runtime,global_seqlen/balanced_min,global_seqlen/min,timing_s/agent_loop/slowest/generate_sequences,val-aux/num_turns/max,perf/mfu/critic,timing_per_token_ms/adv,critic/score/max,critic/vf_explained_var,val-aux/openai/gsm8k/reward/mean@1,timing_s/save_checkpoint,perf/mfu/actor,prompt_length/min,timing_s/gen,timing_s/update_weights,critic/vf_clipfrac,critic/rewards/mean,actor/pg_clipfrac_lower,critic/advantages/max
0,0.33,240.0,0.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.36,230.0,0.36,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.4,220.0,0.4,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.56,210.0,0.56,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0.6,195.0,0.6,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.67,185.0,0.67,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.7,175.0,0.7,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.72,160.0,0.72,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,5.55859375,0.08984375,0.0,-1.0,,1774989255.9107144,0.046937403967604,25.53194999694824,5.388096906244755e-05,70.0,-1.1728250592923928e-09,0.0,1e-06,-0.0256317257881164,28115.0,0.0,14057.5,5.1162908299593255,0.0760425180196762,0.378974798976742,57.389095832942985,9.12312980601564,,0.0,-1.0,0.99851256608963,0.923579741967842,-0.05126953125,,70.0,1.0004053115844729,2.0,0.0,23.201171875,4.0,5.55859375,0.6466873113316718,161.0,1.4070032835006714,244.9507139983654,2.0,11.91346622898709,0.4237405736790713,18.181613758089952,-1.0,-0.0864690029993653,2.0,14058.0,5.0,4.0,57.389095832942985,0.0004142869729548,18.3912992477417,1e-05,0.0,0.0,1.1078069058200442,70.0,179.0,0.2925227284431457,0.0,14147.0,-0.7339344024658203,123.0,0.0,0.2743980289669707,0.0,0.0162278548814356,0.1416015625,0.0,0.002501675957319,0.1740743096088408,0.0012799800897482,-0.025631733238697,53.08660125732422,0.1819772658708634,8.708476479980163,104.265625,0.3244933240624449,186.0,15.514905750751495,2.8814072720706463e-05,0.0203857421875,0.001,-1.0,98.201792026,14057.0,13968.0,0.923579741967842,,0.0,0.0016694790669608,1.0,0.0305867195129394,,,0.0,63.0,1.576409226981923,2.6728769269539043,0.0,0.082442969083786,0.0010361036984249,3.5767602920532227
162,,5.2578125,0.1015625,0.0,-1.0,,1774989288.1937325,0.0350532929878681,21.449018955230716,4.448695108294487e-05,10.0,3.524910496821576e-08,0.0,1e-06,-0.0254345536231994,27763.0,0.0,13881.5,2.2432561001041904,0.0829658880829811,0.1992136189483062,32.274292177986354,3.24762373091653,,0.0,-1.0,0.9979096055030824,0.2550075880717486,0.1640625,,10.0,0.9999945163726808,2.0,0.0,23.90625,4.0,5.2578125,0.2891729143470817,162.0,1.404690504074097,430.110129865785,2.0,11.412248234031722,0.4110596201430581,8.02830762101803,-1.0,0.0003968167584389,2.0,13882.0,5.0,4.0,32.274292177986354,2.827297430485487e-05,18.392276287078857,1e-05,0.0,0.0,0.5856069019527893,10.0,87.0,0.1911404281854629,0.0,13925.0,-0.7893561720848083,87.0,0.0,0.0691629989305511,0.0,0.0218101833597756,0.380859375,0.0,0.0071853122717584,0.2280101962387561,0.2671165359206497,-0.0254345200955867,53.12934112548828,0.0808002053129773,3.808509488939308,103.19140625,0.1169766859098991,189.0,34.57843494415283,1.5934929251670837e-05,0.2451171875,0.001,-1.0,130.651308488,13881.0,13838.0,0.2550075880717486,,0.0,0.0012625902455739,1.0,0.049526572227478,,,0.0,66.0,0.7882268900284544,2.665623918059282,0.0,0.094317689538002,0.0007102272938936,3.430065631866455
